id,address_state,application_type,emp_length,employer,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,monthly_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1077430,GA,INDIVIDUAL,< 1 year,Ryder,C,RENT,11/02/2021,13/09/2021,13/04/2021,Charged Off,13/05/2021,1314167,car,C4, 60 months,Source Verified,30000,2500,1,59.83,15.27,2500,4,1009
1072053,CA,INDIVIDUAL,9 years,MKC Accounting,E,RENT,01/01/2021,14/12/2021,15/01/2021,Fully Paid,15/02/2021,1288686,car,E1, 36 months,Source Verified,48000,4000,5.35,109.43,18.64,3000,4,3939
1069243,CA,INDIVIDUAL,4 years,Chemat Technology Inc,C,RENT,05/01/2021,12/12/2021,09/01/2021,Charged Off,09/02/2021,1304116,car,C5, 36 months,Not Verified,50000,4167,20.88,421.65,15.96,12000,11,3522
1041756,TX,INDIVIDUAL,< 1 year,barnes distribution,B,MORTGAGE,25/02/2021,12/12/2021,12/03/2021,Fully Paid,12/04/2021,1272024,car,B2, 60 months,Source Verified,42000,3500,5.4,97.06,10.65,4500,9,4911
1068350,IL,INDIVIDUAL,10+ years,J&J Steel Inc,A,MORTGAGE,01/01/2021,14/12/2021,15/01/2021,Fully Paid,15/02/2021,1302971,car,A1, 36 months,Verified,83000,6917,2.31,106.53,6.03,3500,28,3835
1062608,CA,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,17/07/2021,16/03/2021,12/08/2021,Fully Paid,12/09/2021,1294481,car,C3, 36 months,Not Verified,28000,2333,12.6,275.96,14.65,8000,11,8637
1067441,TX,INDIVIDUAL,10+ years,American Airlines,C,MORTGAGE,19/11/2021,14/06/2021,13/12/2021,Fully Paid,13/01/2022,1301833,car,C2, 36 months,Verified,94800,7900,24.53,205.86,14.27,6000,30,7218
1066424,PA,INDIVIDUAL,10+ years,SCI Mahanoy,A,OWN,11/06/2021,14/07/2021,14/07/2021,Fully Paid,14/08/2021,1291243,car,A4, 36 months,Source Verified,59000,4917,6.65,172.1,7.9,5500,23,6172
1065254,FL,INDIVIDUAL,10+ years,Tech Data Corp,A,MORTGAGE,02/09/2021,15/06/2021,12/10/2021,Charged Off,12/11/2021,1299335,car,A5, 36 months,Verified,116400,9700,3.94,762.08,8.9,24000,31,8650
1064589,MI,INDIVIDUAL,10+ years,teltow contracting,B,MORTGAGE,09/02/2021,16/03/2021,16/03/2021,Fully Paid,16/04/2021,1298401,car,B5, 60 months,Not Verified,36000,3000,17.73,93.21,12.69,4125,21,5551
1057766,TX,INDIVIDUAL,10+ years,Ericsson,B,MORTGAGE,22/07/2021,13/09/2021,13/08/2021,Fully Paid,13/09/2021,1289131,car,B5, 36 months,Not Verified,75000,6250,8.8,181.15,12.69,5400,33,6277
1062734,CA,INDIVIDUAL,3 years,myrvpartsplace.com,B,RENT,11/09/2021,13/03/2021,12/10/2021,Charged Off,12/11/2021,1295018,car,B4, 36 months,Not Verified,75000,6250,22.88,374.26,12.42,11200,13,4225
1062654,CA,INDIVIDUAL,4 years,AEG LIVE,B,RENT,11/08/2021,13/10/2021,13/09/2021,Fully Paid,13/10/2021,1294929,car,B3, 36 months,Not Verified,35000,2917,4.01,165.38,11.71,5000,3,5728
1020855,CA,INDIVIDUAL,5 years,henkel corporation,B,RENT,11/12/2021,14/12/2021,14/12/2021,Fully Paid,14/01/2022,1249642,car,B5, 36 months,Not Verified,48000,4000,15.33,268.36,12.69,8000,15,9661
1060945,IL,INDIVIDUAL,4 years,AXA Assistance,B,RENT,11/10/2021,14/12/2021,14/12/2021,Fully Paid,14/01/2022,1293124,car,B4, 36 months,Not Verified,92000,7667,10.6,200.5,12.42,6000,18,7218
1060995,RI,INDIVIDUAL,< 1 year,HSA-UWC,B,RENT,11/12/2021,14/02/2021,13/10/2021,Charged Off,13/11/2021,1292578,car,B4, 36 months,Source Verified,60000,5000,6.3,400.99,12.42,12000,14,9547
1046507,TX,INDIVIDUAL,1 year,Child's Day,B,RENT,02/12/2021,16/04/2021,14/12/2021,Fully Paid,14/01/2022,1277552,car,B1, 36 months,Verified,16800,1400,3.5,98.29,9.91,3050,8,3538
1059936,NY,INDIVIDUAL,4 years,OEC Freight,C,RENT,09/10/2021,15/09/2021,12/11/2021,Fully Paid,12/12/2021,1291775,car,C2, 36 months,Source Verified,40000,3333,18.69,343.09,14.27,10000,7,11156
1059497,FL,INDIVIDUAL,10+ years,Sandestin Beach Hilton,B,MORTGAGE,12/12/2021,14/12/2021,14/12/2021,Fully Paid,14/01/2022,1291322,car,B2, 36 months,Verified,35000,2917,13.92,162.87,10.65,5000,23,5863
1058060,MD,INDIVIDUAL,10+ years,,D,OWN,02/02/2021,16/05/2021,15/02/2021,Fully Paid,15/03/2021,1289636,car,D1, 36 months,Not Verified,40000,3333,9.57,176.51,16.29,5000,13,6361
112245,WI,INDIVIDUAL,6 years,Norman G. Olson Insurance,A,RENT,07/07/2021,16/04/2021,10/08/2021,Fully Paid,10/09/2021,112227,car,A2, 36 months,Not Verified,40000,3333,2.55,155.38,7.43,5000,7,5594
207910,FL,INDIVIDUAL,< 1 year,,A,MORTGAGE,08/01/2021,16/05/2021,10/02/2021,Charged Off,10/03/2021,183496,car,A2, 36 months,Not Verified,120000,10000,7.67,69.14,7.43,2225,20,2508
65426,MI,INDIVIDUAL,< 1 year,"Infotrieve, Inc.",B,MORTGAGE,09/08/2021,16/05/2021,11/06/2021,Charged Off,11/07/2021,232106,car,B1, 36 months,Not Verified,60000,5000,11.08,131.22,11.14,4000,33,2755
211723,MD,INDIVIDUAL,4 years,self employed,C,OWN,08/01/2021,09/12/2021,08/08/2021,Charged Off,08/09/2021,211606,car,C2, 36 months,Not Verified,72000,6000,5.12,262.26,11.09,8000,8,2135
662350,NV,INDIVIDUAL,10+ years,Clark County School District,A,MORTGAGE,11/01/2021,13/02/2021,12/08/2021,Charged Off,12/09/2021,847024,car,A5, 36 months,Not Verified,70800,5900,7.95,77.95,7.66,2500,39,1479
1006769,PA,INDIVIDUAL,6 years,The Mount Sinai School of Medicine,A,MORTGAGE,11/11/2021,13/11/2021,13/06/2021,Charged Off,13/07/2021,1233120,car,A3, 36 months,Not Verified,80000,6667,6.48,124.45,7.51,4000,11,2479
405898,GA,INDIVIDUAL,< 1 year,Blue Ridge Design Group,A,MORTGAGE,09/06/2021,16/05/2021,09/12/2021,Charged Off,09/01/2022,454145,car,A5, 36 months,Not Verified,36000,3000,15,385.14,9.63,12000,24,2306
445846,MI,INDIVIDUAL,10+ years,Abbott Nutrition,A,MORTGAGE,09/10/2021,16/05/2021,12/02/2021,Charged Off,12/03/2021,544784,car,A5, 36 months,Not Verified,45000,3750,15.2,222.41,8.94,7000,24,6446
659221,MI,INDIVIDUAL,3 years,rice &werthmann,A,MORTGAGE,11/01/2021,16/05/2021,13/10/2021,Charged Off,13/11/2021,843127,car,A5, 36 months,Not Verified,86400,7200,3.85,280.62,7.66,9000,10,8945
782425,UT,INDIVIDUAL,6 years,Five County Assoc of Governments,A,MORTGAGE,11/06/2021,16/05/2021,12/07/2021,Charged Off,12/08/2021,985412,car,A5, 36 months,Not Verified,24600,2050,7.85,152.42,8.9,4800,21,1978
