loan_id,age,gender,marital_status,dependents,education,employment_status,employment_years,annual_income,credit_score,previous_default,existing_loans_count,loan_purpose,loan_amount,loan_term_months,interest_rate,property_ownership,savings_balance,collateral_value,debt_to_income_ratio,loanapproval
LN100000,43,Male,Divorced,1,High School,Self-Employed,21.5,16354,595,0,2,Auto,4200,12,10.66,Mortgage,3079,4856,0.812,0
LN100001,36,Female,Married,2,Bachelor's,Employed,9.6,59460,579,0,0,Home,121000,36,12.09,Own,1758,155688,0.678,0
LN100002,45,Male,Married,1,Master's,Self-Employed,7.2,89708,574,0,1,Business,33200,180,10.98,Rent,2280,33927,0.037,1
LN100003,54,Male,Single,1,Bachelor's,Employed,13.8,25560,550,1,2,Education,5500,240,15.13,Rent,3249,0,0.328,0
LN100004,35,Female,Single,0,Bachelor's,Employed,4.5,54248,683,0,0,Auto,16700,60,10.64,Mortgage,5857,16828,0.062,1
LN100005,35,Female,Divorced,1,High School,Employed,7.6,38493,539,0,0,Education,12300,360,12.64,Rent,4713,0,0.011,0
LN100006,55,Male,Single,1,Master's,Unemployed,0.0,10716,603,0,1,Personal,1000,48,10.82,Mortgage,283,0,0.379,0
LN100007,46,Female,Widowed,2,PhD,Employed,13.4,130626,722,0,0,Home,132800,36,7.89,Own,30294,163954,0.339,1
LN100008,32,Male,Single,2,Bachelor's,Employed,9.8,92679,649,0,2,Personal,10500,360,10.11,Own,7907,0,0.046,1
LN100009,43,Male,Married,0,Master's,Employed,7.9,34088,586,0,1,Education,10900,24,11.26,Rent,4469,0,0.299,1
LN100010,32,Female,Widowed,0,High School,Self-Employed,6.3,32235,514,0,1,Personal,6500,120,13.73,Mortgage,2580,0,0.168,0
LN100011,32,Male,Single,1,High School,Employed,6.2,31725,536,0,4,Personal,5300,48,11.85,Rent,15354,0,0.338,0
LN100012,40,Female,Married,4,Bachelor's,Employed,18.1,66136,635,0,1,Home,99600,84,9.05,Rent,6381,124711,0.259,1
LN100013,18,Male,Married,0,Bachelor's,Employed,0.0,45978,456,0,1,Personal,6700,48,14.24,Rent,3013,0,0.123,0
LN100014,19,Male,Single,1,Bachelor's,Employed,0.0,57753,605,0,3,Debt Consolidation,9300,24,9.6,Mortgage,947,0,0.256,1
LN100015,31,Male,Married,0,Bachelor's,Employed,8.2,44697,633,0,1,Home,92900,48,11.04,Own,2819,96055,0.566,0
LN100016,26,Male,Single,0,High School,Retired,1.8,54415,624,0,1,Business,45900,60,9.79,Rent,32883,46202,0.239,0
LN100017,41,Female,Single,1,High School,Employed,4.6,23841,566,0,2,Medical,3900,60,10.73,Own,988,0,0.255,1
LN100018,28,Female,Single,2,High School,Employed,1.2,13788,501,0,2,Auto,2900,84,12.39,Mortgage,2258,3650,0.192,1
LN100019,22,Female,Divorced,2,Associate,Retired,2.6,29050,584,0,1,Auto,8400,24,10.88,Own,1308,8267,0.225,1
